Region,Owala,Stanley,YETI,HydroFlask,Nalgene
AL,41,76,46,29,12
AK,16,33,41,46,100
AZ,16,57,39,67,25
AR,33,76,39,25,12
CA,25,43,39,88,25
CO,33,44,48,61,75
CT,25,46,52,50,37
DE,41,47,57,33,12
FL,25,49,47,22,12
GA,25,52,43,25,25
HI,25,42,100,100,37
ID,25,75,46,59,62
IL,33,50,42,40,25
IN,41,62,42,35,25
IA,66,79,45,66,25
KS,41,71,46,48,25
KY,50,78,42,30,25
LA,25,56,32,22,12
ME,33,59,72,48,87
MD,25,43,40,33,25
MA,33,49,60,54,37
MI,33,50,53,35,25
MN,50,55,50,59,50
MS,25,76,43,24,0
MO,41,65,39,40,37
MT,8,57,65,61,87
NE,58,76,50,72,37
NV,25,40,31,66,25
NH,33,52,75,64,37
NJ,25,44,41,43,12
NM,16,40,49,37,25
NY,16,30,38,30,25
NC,41,55,52,33,37
ND,41,75,55,69,25
OH,41,52,49,35,25
OK,33,65,37,27,12
OR,16,40,37,74,50
PA,33,49,57,41,37
RI,33,47,52,50,37
SC,41,66,53,30,37
SD,50,81,46,77,50
TN,41,68,41,35,37
TX,33,65,59,35,12
UT,100,100,39,67,62
VT,,39,58,56,37
VA,33,44,43,41,37
WA,25,43,32,58,50
WV,16,75,52,24,50
WI,50,55,50,45,37
WY,8,59,65,53,62
